"Labour force characteristics by industry, annual" 1
"1998","15,314.8","2,457.6","11,365.6","1,491.6","14,047.0","2,085.4","10,563.1","1,398.4","11,406.5","1,142.3","9,182.9","1,081.2","2,640.5","943.1","1,380.2","317.2","8.3","15.1","7.1","6.2","3,632.4","557.4","2,742.5","332.5","3,257.7","460.8","2,495.4","301.5","2,687.1","255.9","2,190.4","240.8","570.7","204.9","305.1","60.7","10.3","17.3","9.0","9.3","5,876.4","923.0","4,375.6","577.8","5,453.9","789.4","4,116.0","548.5","4,437.3","401.6","3,612.6","423.1","1,016.5","387.8","503.3","125.4","7.2","14.5","5.9","5.1","2,037.6","313.5","1,517.6","206.5","1,857.7","258.9","1,404.1","194.6","1,460.4","139.1","1,176.8","144.5","397.3","119.8","227.3","50.1","8.8","17.4","7.5","5.8"
"1999","15,583.7","2,550.9","11,480.9","1,551.9","14,402.0","2,192.3","10,743.1","1,466.6","11,754.8","1,224.1","9,385.6","1,145.0","2,647.2","968.2","1,357.4","321.6","7.6","14.1","6.4","5.5","3,669.6","581.2","2,755.6","332.7","3,326.6","489.5","2,532.7","304.5","2,768.2","283.6","2,237.6","247.0","558.4","205.8","295.0","57.6","9.3","15.8","8.1","8.5","6,017.5","970.1","4,432.3","615.1","5,635.3","841.8","4,203.8","589.7","4,621.2","447.7","3,713.0","460.5","1,014.2","394.1","490.8","129.2","6.3","13.2","5.2","4.1","2,064.0","319.1","1,528.6","216.3","1,893.7","273.4","1,416.8","203.5","1,487.6","141.9","1,193.1","152.6","406.1","131.5","223.6","50.9","8.3","14.3","7.3","5.9"
"2000","15,841.9","2,619.4","11,600.2","1,622.4","14,760.1","2,287.4","10,933.1","1,539.6","12,089.4","1,289.3","9,597.9","1,202.2","2,670.7","998.1","1,335.2","337.4","6.8","12.7","5.7","5.1","3,716.7","593.5","2,770.2","353.0","3,401.5","510.7","2,563.8","327.0","2,829.2","300.4","2,267.7","261.1","572.3","210.3","296.2","65.9","8.5","14.0","7.5","7.4","6,169.3","1,010.3","4,518.1","640.8","5,814.9","890.8","4,309.8","614.3","4,769.4","464.0","3,829.0","476.4","1,045.4","426.8","480.8","137.8","5.7","11.8","4.6","4.2","2,080.0","323.0","1,529.4","227.6","1,930.8","278.2","1,436.0","216.5","1,533.3","153.8","1,210.0","169.5","397.4","124.5","226.0","47.0","7.2","13.8","6.1","4.9"
"2001","16,094.1","2,663.6","11,739.1","1,691.3","14,932.3","2,320.7","11,013.2","1,598.4","12,229.4","1,311.0","9,658.0","1,260.4","2,702.9","1,009.8","1,355.2","338.0","7.2","12.9","6.2","5.5","3,772.7","608.3","2,794.3","370.0","3,441.3","525.4","2,576.4","339.5","2,849.3","307.8","2,270.3","271.2","592.1","217.6","306.1","68.4","8.8","13.6","7.8","8.2","6,320.6","1,028.5","4,615.9","676.2","5,921.3","899.7","4,374.5","647.1","4,864.9","474.7","3,882.0","508.2","1,056.4","425.0","492.5","138.9","6.3","12.5","5.2","4.3","2,081.6","323.5","1,529.0","229.1","1,920.9","278.2","1,426.8","215.9","1,516.9","148.9","1,198.2","169.9","404.0","129.4","228.6","46.1","7.7","14.0","6.7","5.8"
"2002","16,560.7","2,768.4","11,921.8","1,870.4","15,291.3","2,391.2","11,139.1","1,761.0","12,422.8","1,316.8","9,743.7","1,362.4","2,868.5","1,074.5","1,395.4","398.6","7.7","13.6","6.6","5.8","3,904.5","639.8","2,850.8","413.9","3,564.3","552.4","2,633.1","378.7","2,925.1","313.2","2,312.9","299.0","639.2","239.2","320.2","79.8","8.7","13.6","7.6","8.5","6,495.5","1,064.6","4,693.1","737.8","6,034.2","916.8","4,414.4","703.0","4,931.7","480.4","3,909.1","542.2","1,102.4","436.4","505.3","160.7","7.1","13.9","5.9","4.7","2,134.5","342.0","1,534.8","257.7","1,952.4","290.4","1,419.7","242.4","1,507.3","144.7","1,182.8","179.9","445.1","145.7","236.9","62.5","8.5","15.1","7.5","6.0"
"2003","16,944.2","2,826.5","12,025.0","2,092.6","15,660.8","2,441.2","11,250.1","1,969.5","12,692.4","1,336.2","9,838.8","1,517.4","2,968.4","1,105.1","1,411.3","452.1","7.6","13.6","6.4","5.9","3,992.8","654.7","2,871.1","466.9","3,628.8","562.6","2,638.8","427.4","2,956.5","313.3","2,312.8","330.4","672.3","249.3","326.0","97.0","9.1","14.1","8.1","8.5","6,676.5","1,093.3","4,754.2","829.0","6,212.9","935.9","4,484.9","792.2","5,061.4","485.9","3,967.1","608.3","1,151.5","449.9","517.7","183.9","6.9","14.4","5.7","4.4","2,171.6","343.8","1,536.5","291.4","1,998.1","294.0","1,431.5","272.6","1,552.0","150.4","1,194.6","207.0","446.1","143.6","236.9","65.6","8.0","14.5","6.8","6.5"
"2004","17,147.1","2,836.5","12,098.2","2,212.4","15,915.0","2,455.0","11,370.7","2,089.4","12,966.6","1,354.0","9,993.1","1,619.4","2,948.5","1,100.9","1,377.5","470.0","7.2","13.4","6.0","5.6","4,018.3","644.9","2,877.5","495.8","3,675.8","550.7","2,665.3","459.8","3,007.6","301.9","2,350.5","355.2","668.1","248.7","314.8","104.6","8.5","14.6","7.4","7.3","6,772.2","1,106.1","4,786.8","879.3","6,314.3","949.7","4,529.0","835.5","5,165.9","497.3","4,020.3","648.4","1,148.3","452.4","508.7","187.2","6.8","14.1","5.4","5.0","2,185.9","345.5","1,548.6","291.9","2,028.3","298.4","1,455.7","274.2","1,603.3","159.5","1,231.9","211.8","425.0","138.9","223.8","62.4","7.2","13.6","6.0","6.1"
"2005","17,292.1","2,831.5","12,119.2","2,341.5","16,123.5","2,480.4","11,421.2","2,221.9","13,155.3","1,369.5","10,050.0","1,735.8","2,968.2","1,110.9","1,371.2","486.1","6.8","12.4","5.8","5.1","4,038.0","633.6","2,887.3","517.2","3,705.5","548.4","2,674.4","482.7","3,032.3","297.4","2,358.9","376.0","673.2","251.0","315.5","106.7","8.2","13.4","7.4","6.7","6,834.1","1,097.7","4,808.7","927.8","6,381.0","944.6","4,550.7","885.7","5,220.6","486.6","4,037.4","696.6","1,160.4","458.1","513.3","189.1","6.6","13.9","5.4","4.5","2,219.7","359.3","1,536.6","323.9","2,089.7","322.9","1,458.2","308.6","1,659.2","183.0","1,239.7","236.5","430.5","139.9","218.5","72.1","5.9","10.1","5.1","4.7"
"2006","17,482.3","2,905.7","12,142.7","2,433.9","16,375.0","2,573.2","11,494.1","2,307.7","13,402.3","1,434.5","10,164.2","1,803.6","2,972.7","1,138.7","1,329.9","504.1","6.3","11.4","5.3","5.2","4,063.8","643.2","2,884.7","535.9","3,736.0","558.9","2,679.4","497.6","3,051.1","298.7","2,368.0","384.3","684.9","260.2","311.4","113.3","8.1","13.1","7.1","7.1","6,884.8","1,123.9","4,801.8","959.2","6,449.0","978.8","4,557.1","913.0","5,293.3","508.1","4,067.3","717.8","1,155.7","470.7","489.8","195.2","6.3","12.9","5.1","4.8","2,244.3","369.1","1,539.4","335.8","2,137.9","339.2","1,477.2","321.5","1,700.6","197.7","1,257.6","245.3","437.3","141.4","219.6","76.2","4.7","8.1","4.0","4.3"
"2007","17,800.0","2,960.7","12,251.1","2,588.2","16,719.1","2,636.9","11,622.1","2,460.1","13,664.9","1,454.6","10,292.6","1,917.7","3,054.2","1,182.3","1,329.5","542.4","6.1","10.9","5.1","4.9","4,124.9","653.3","2,904.2","567.5","3,824.5","573.5","2,720.6","530.3","3,110.9","298.6","2,406.2","406.2","713.6","275.0","314.5","124.1","7.3","12.2","6.3","6.6","6,974.8","1,143.4","4,816.5","1,014.8","6,526.5","999.4","4,561.4","965.8","5,336.3","507.2","4,070.4","758.7","1,190.2","492.2","491.0","207.0","6.4","12.6","5.3","4.8","2,302.9","381.7","1,560.5","360.6","2,204.3","353.0","1,503.7","347.6","1,756.9","204.5","1,286.0","266.4","447.4","148.4","217.8","81.2","4.3","7.5","3.6","3.6"
"2008","18,077.0","2,992.0","12,341.9","2,743.0","16,959.1","2,651.2","11,704.5","2,603.4","13,823.9","1,457.5","10,350.0","2,016.4","3,135.2","1,193.8","1,354.5","587.0","6.2","11.4","5.2","5.1","4,175.3","670.9","2,909.0","595.4","3,870.0","591.8","2,723.2","554.9","3,140.0","305.0","2,411.8","423.1","730.0","286.8","311.4","131.8","7.3","11.8","6.4","6.8","7,051.9","1,139.8","4,837.0","1,075.2","6,587.7","986.5","4,579.7","1,021.5","5,353.0","501.0","4,065.3","786.7","1,234.7","485.5","514.4","234.8","6.6","13.4","5.3","5.0","2,346.9","384.5","1,585.3","377.2","2,238.7","351.8","1,523.7","363.2","1,786.7","200.5","1,305.8","280.4","451.9","151.3","217.8","82.8","4.6","8.5","3.9","3.7"
"2009","18,212.1","2,925.0","12,380.8","2,906.3","16,685.3","2,487.3","11,486.0","2,712.0","13,472.9","1,312.3","10,080.6","2,080.1","3,212.4","1,175.0","1,405.4","632.0","8.4","15.0","7.2","6.7","4,205.9","664.3","2,906.4","635.2","3,842.5","566.5","2,691.1","584.8","3,116.3","281.5","2,386.8","448.0","726.2","285.0","304.3","136.8","8.6","14.7","7.4","7.9","7,062.9","1,111.6","4,828.2","1,123.0","6,415.5","921.4","4,446.0","1,048.1","5,159.8","447.6","3,912.7","799.5","1,255.7","473.8","533.3","248.6","9.2","17.1","7.9","6.7","2,370.9","370.3","1,595.7","404.9","2,187.1","319.6","1,487.7","379.8","1,710.4","169.8","1,254.4","286.1","476.7","149.8","233.2","93.7","7.8","13.7","6.8","6.2"
"2010","18,400.0","2,895.3","12,431.9","3,072.8","16,907.3","2,472.0","11,560.0","2,875.3","13,612.1","1,272.3","10,128.7","2,211.2","3,295.2","1,199.7","1,431.3","664.2","8.1","14.6","7.0","6.4","4,266.0","682.2","2,914.9","668.9","3,920.1","588.8","2,711.4","619.9","3,153.4","289.9","2,394.3","469.2","766.7","298.9","317.1","150.7","8.1","13.7","7.0","7.3","7,138.0","1,094.8","4,838.6","1,204.5","6,514.6","908.4","4,479.9","1,126.3","5,239.6","429.5","3,937.1","873.0","1,275.0","478.9","542.8","253.3","8.7","17.0","7.4","6.5","2,398.6","363.5","1,610.0","425.0","2,214.9","313.7","1,499.2","402.0","1,719.8","155.9","1,262.5","301.5","495.1","157.8","236.7","100.5","7.7","13.7","6.9","5.4"
"2011","18,574.7","2,908.8","12,450.3","3,215.6","17,171.7","2,503.2","11,659.5","3,009.0","13,869.0","1,303.2","10,237.1","2,328.8","3,302.7","1,200.1","1,422.4","680.2","7.6","13.9","6.4","6.4","4,302.8","676.1","2,919.2","707.5","3,963.5","587.2","2,723.7","652.7","3,198.8","285.1","2,413.5","500.3","764.6","302.0","310.2","152.4","7.9","13.1","6.7","7.8","7,207.3","1,113.9","4,844.4","1,249.1","6,638.2","940.8","4,525.0","1,172.4","5,360.4","458.4","3,988.0","913.9","1,277.8","482.3","536.9","258.5","7.9","15.5","6.6","6.1","2,404.4","363.0","1,604.5","436.9","2,220.3","311.4","1,498.3","410.6","1,720.8","159.0","1,257.6","304.2","499.5","152.4","240.8","106.4","7.7","14.2","6.6","6.0"
"2012","18,737.4","2,872.0","12,504.7","3,360.8","17,362.9","2,466.7","11,738.3","3,157.9","14,084.9","1,291.0","10,339.1","2,454.8","3,278.0","1,175.7","1,399.2","703.1","7.3","14.1","6.1","6.0","4,321.1","671.5","2,923.7","725.9","3,983.9","580.8","2,727.6","675.5","3,228.5","284.4","2,426.0","518.1","755.4","296.4","301.6","157.3","7.8","13.5","6.7","6.9","7,238.7","1,092.3","4,845.6","1,300.7","6,666.7","911.3","4,530.8","1,224.6","5,389.0","439.2","3,993.5","956.2","1,277.7","472.1","537.2","268.4","7.9","16.6","6.5","5.9","2,442.5","359.4","1,617.9","465.1","2,274.7","311.9","1,524.4","438.4","1,781.9","158.6","1,291.1","332.1","492.8","153.2","233.3","106.3","6.9","13.2","5.8","5.7"
"2013","18,932.6","2,873.9","12,531.4","3,527.3","17,585.1","2,487.0","11,785.6","3,312.5","14,240.9","1,294.5","10,374.7","2,571.7","3,344.2","1,192.5","1,410.9","740.8","7.1","13.5","6.0","6.1","4,360.0","666.8","2,902.2","791.0","4,026.4","581.7","2,714.4","730.3","3,250.2","278.5","2,403.8","567.9","776.2","303.2","310.6","162.4","7.7","12.7","6.5","7.7","7,325.1","1,105.6","4,871.0","1,348.5","6,768.1","930.2","4,564.2","1,273.6","5,449.1","442.6","4,015.4","991.1","1,318.9","487.6","548.8","282.5","7.6","15.9","6.3","5.6","2,453.7","358.4","1,620.7","474.5","2,291.0","311.7","1,531.0","448.3","1,801.8","165.8","1,301.7","334.3","489.2","145.9","229.3","114.0","6.6","13.0","5.5","5.5"
"2014","18,997.5","2,867.6","12,484.2","3,645.7","17,677.2","2,489.7","11,756.2","3,431.2","14,277.4","1,275.8","10,350.2","2,651.4","3,399.8","1,214.0","1,406.1","779.8","6.9","13.2","5.8","5.9","4,343.3","658.1","2,865.3","819.8","4,005.0","573.0","2,671.5","760.5","3,201.0","261.9","2,368.3","570.9","803.9","311.1","303.2","189.6","7.8","12.9","6.8","7.2","7,345.3","1,112.5","4,818.3","1,414.5","6,809.1","943.4","4,528.3","1,337.4","5,486.6","450.7","3,994.6","1,041.3","1,322.5","492.7","533.7","296.1","7.3","15.2","6.0","5.5","2,482.8","363.1","1,637.9","481.8","2,331.6","321.9","1,553.1","456.6","1,829.5","168.4","1,316.2","344.9","502.1","153.5","236.9","111.7","6.1","11.3","5.2","5.2"
"2015","19,120.7","2,840.0","12,512.7","3,768.0","17,794.0","2,473.8","11,775.3","3,544.9","14,440.5","1,282.2","10,377.7","2,780.6","3,353.5","1,191.6","1,397.7","764.2","6.9","12.9","5.9","5.9","4,368.7","651.4","2,870.9","846.5","4,034.6","569.3","2,681.3","784.0","3,237.7","260.5","2,366.6","610.7","796.9","308.9","314.7","173.3","7.6","12.6","6.6","7.4","7,343.0","1,091.4","4,801.2","1,450.4","6,845.4","935.2","4,532.0","1,378.2","5,557.4","461.8","4,007.3","1,088.3","1,288.0","473.5","524.6","289.8","6.8","14.3","5.6","5.0","2,527.2","361.0","1,658.5","507.7","2,371.0","319.7","1,572.2","479.1","1,882.9","170.9","1,345.8","366.2","488.0","148.8","226.3","112.9","6.2","11.4","5.2","5.6"
"2016","19,270.3","2,794.8","12,539.0","3,936.5","17,911.6","2,435.8","11,781.4","3,694.4","14,473.6","1,252.6","10,364.7","2,856.3","3,438.0","1,183.1","1,416.8","838.1","7.1","12.8","6.0","6.2","4,370.0","633.6","2,867.3","869.1","4,056.7","555.5","2,690.1","811.0","3,275.3","256.2","2,388.4","630.7","781.4","299.3","301.7","180.3","7.2","12.3","6.2","6.7","7,408.9","1,077.3","4,814.1","1,517.5","6,921.4","929.3","4,550.4","1,441.8","5,610.5","466.6","4,024.1","1,119.8","1,310.9","462.6","526.2","322.0","6.6","13.7","5.5","5.0","2,612.1","366.4","1,682.5","563.2","2,453.5","329.3","1,591.4","532.9","1,928.5","170.9","1,357.2","400.4","525.0","158.4","234.2","132.5","6.1","10.1","5.4","5.4"
"2017","19,530.3","2,829.8","12,634.6","4,065.8","18,281.1","2,506.1","11,942.4","3,832.6","14,772.1","1,272.5","10,527.7","2,971.9","3,509.0","1,233.6","1,414.7","860.6","6.4","11.4","5.5","5.7","4,428.3","623.2","2,895.8","909.4","4,158.6","561.0","2,740.4","857.2","3,349.9","255.5","2,430.0","664.5","808.7","305.6","310.4","192.7","6.1","10.0","5.4","5.7","7,506.5","1,106.2","4,836.8","1,563.5","7,052.5","971.7","4,588.7","1,492.1","5,713.2","487.4","4,056.1","1,169.7","1,339.3","484.3","532.6","322.4","6.0","12.2","5.1","4.6","2,693.5","391.9","1,721.2","580.4","2,554.4","358.3","1,644.7","551.5","2,010.0","185.6","1,414.1","410.3","544.4","172.7","230.5","141.2","5.2","8.6","4.5","5.0"
"2018","19,732.0","2,851.0","12,713.3","4,167.7","18,568.0","2,541.2","12,078.2","3,948.7","15,086.9","1,326.3","10,682.4","3,078.2","3,481.1","1,214.8","1,395.8","870.4","5.9","10.9","5.0","5.3","4,467.2","623.2","2,901.3","942.7","4,221.7","564.9","2,765.6","891.3","3,431.2","267.1","2,467.6","696.5","790.5","297.8","298.0","194.8","5.5","9.4","4.7","5.5","7,608.9","1,126.7","4,882.5","1,599.7","7,173.3","994.1","4,648.4","1,530.8","5,845.7","511.7","4,127.9","1,206.0","1,327.6","482.4","520.5","324.8","5.7","11.8","4.8","4.3","2,718.9","392.8","1,734.2","591.9","2,589.9","362.2","1,662.1","565.6","2,040.9","191.7","1,427.2","422.0","548.9","170.4","235.0","143.6","4.7","7.8","4.2","4.5"
"2019","20,139.7","2,910.0","12,897.4","4,332.4","18,985.6","2,590.7","12,283.5","4,111.4","15,377.4","1,324.4","10,876.5","3,176.5","3,608.2","1,266.3","1,407.0","934.9","5.7","11.0","4.8","5.1","4,541.2","642.1","2,927.1","972.0","4,308.1","587.3","2,799.3","921.4","3,488.9","265.7","2,510.7","712.5","819.2","321.6","288.6","209.0","5.1","8.5","4.4","5.2","7,816.3","1,152.3","4,985.6","1,678.4","7,376.9","1,014.5","4,754.8","1,607.7","6,000.3","513.7","4,232.2","1,254.4","1,376.6","500.7","522.6","353.2","5.6","12.0","4.6","4.2","2,798.1","400.0","1,776.2","622.0","2,666.4","363.5","1,707.2","595.8","2,088.9","189.3","1,458.6","441.0","577.5","174.2","248.6","154.7","4.7","9.1","3.9","4.2"
"2020","19,896.6","2,775.5","12,807.8","4,313.3","17,999.2","2,218.1","11,809.6","3,971.5","14,753.1","1,153.1","10,495.9","3,104.2","3,246.1","1,065.0","1,313.7","867.3","9.5","20.1","7.8","7.9","4,497.8","625.7","2,910.5","961.6","4,099.6","518.1","2,699.3","882.2","3,387.4","241.4","2,448.9","697.1","712.3","276.7","250.4","185.2","8.9","17.2","7.3","8.3","7,766.0","1,099.7","4,962.4","1,704.0","7,021.6","857.6","4,579.6","1,584.4","5,797.4","460.0","4,088.7","1,248.7","1,224.3","397.6","491.0","335.7","9.6","22.0","7.7","7.0","2,735.3","366.3","1,752.3","616.8","2,491.1","298.3","1,620.8","571.9","1,965.7","149.6","1,397.0","419.1","525.4","148.7","223.8","152.8","8.9","18.6","7.5","7.3"

Symbol legend:

Footnotes:
1,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are supressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
2,Excluding the territories.
3,"Industry refers to the general nature of the business carried out by the employer for whom the respondent works (main job only). If the individual did not have a job during the reference week, the data relate to the previous job, if that job was held in the past year. Those unemployed persons who have never worked before and those persons who last worked more than 1 year ago make up the ""unclassified"" category in this table. In January 1999, the industry classification switched from Standard Industrial Classification (SIC 1980) to North American Industrial Classification System (NAICS), which was quite different. For this reason, detailed historical data based on NAICS is provided going back to January 1987. In addition, data from 1976 to 1986 is provided at a less detailed level than the more recent data. Historical data have been created by imputation. From 1976 to 1986, estimates are based on 2002 NAICS. From 1987 onwards, industry estimates are based on the 2017 North American Industry Classification System (NAICS)."
4,"Number of civilian, non-institutionalized persons 15 years of age and over who, during the reference week, were employed or unemployed. Estimates in thousands, rounded to the nearest hundred."
5,"Number of persons who, during the reference week, worked for pay or profit, or performed unpaid family work or had a job but were not at work due to own illness or disability, personal or family responsibilities, labour dispute, vacation, or other reason. Those persons on layoff and persons without work but who had a job to start at a definite date in the future are not considered employed. Estimates in thousands, rounded to the nearest hundred."
6,"Full-time employment consists of persons who usually work 30 hours or more per week at their main or only job. Estimates in thousands, rounded to the nearest hundred."
7,"Part-time employment consists of persons who usually work less than 30 hours per week at their main or only job. Estimates in thousands, rounded to the nearest hundred."
8,"The unemployment rate is the number of unemployed persons expressed as a percentage of the labour force. The unemployment rate for a particular group (age, sex, marital status, etc.) is the number unemployed in that group expressed as a percentage of the labour force for that group. Estimates are percentages, rounded to the nearest tenth."
9,This combines the North American Industry Classification System (NAICS) codes 11 to 91.

"How to cite: Statistics Canada. Table 14-10-0023-01 Labour force characteristics by industry, annual"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410002301
DOI: https://doi.org/10.25318/1410002301-eng